Ward-Code,Ward-Name,Townsend01,Quintiles
17UKGK,Stenson,-3.02,1
17UKGL,Swadlincote,-1.14,3
17UKGM,Willington and Findern,-3.14,1
17UKGN,Woodville,-1.55,3
18UBGN,Axminster Rural,0.10,4
18UBGP,Axminster Town,-0.94,3
18UBGQ,Beer and Branscombe,-1.42,3
18UBGR,Broadclyst,-2.00,2
18UBGS,Budleigh,-2.06,2
18UBGT,Clyst Valley,-3.06,1
18UBGU,Coly Valley,-2.78,1
18UBGW,Dunkeswell,-2.32,2
18UBGX,Exe Valley,-2.19,2
18UBGY,Exmouth Brixington,-2.76,1
18UBGZ,Exmouth Halsdon,-2.34,2
18UBHA,Exmouth Littleham,0.02,4
18UBHB,Exmouth Town,1.08,4
18UBHC,Exmouth Withycombe Raleigh,0.13,4
18UBHD,Feniton and Buckerell,-3.08,1
18UBHE,Honiton St Michael's,-1.06,3
18UBHF,Honiton St Paul's,-0.34,3
18UBHG,Newbridges,-2.39,2
18UBHH,Newton Poppleford and Harpford,-2.42,2
18UBHJ,Otterhead,-2.76,1
18UBHK,Ottery St Mary Rural,-3.25,1
18UBHL,Ottery St Mary Town,-1.68,2
18UBHM,Raleigh,-1.67,2
18UBHN,Seaton,-1.40,3
18UBHP,Sidmouth Rural,-3.23,1
18UBHQ,Sidmouth Sidford,-1.16,3
18UBHR,Sidmouth Town,-2.01,2
18UBHS,Tale Vale,-2.72,1
18UBHT,Trinity,-2.69,1
18UBHU,Whimple,-1.78,2
18UBHW,Woodbury and Lympstone,-2.44,2
18UBHX,Yarty,-2.66,1
18UCFU,Alphington,-1.34,3
18UCFW,Cowick,-1.26,3
18UCFX,Duryard,-1.15,3
18UCFY,Exwick,-0.31,3
18UCFZ,Heavitree,-1.26,3
18UCGA,Mincinglake,0.56,4
18UCGB,Newtown,3.90,5
18UCGC,Pennsylvania,-0.79,3
18UCGD,Pinhoe,-1.46,3
18UCGE,Polsloe,1.17,4
18UCGF,Priory,3.15,5
18UCGG,St David's,5.75,5
18UCGH,St James,3.55,5
18UCGJ,St Leonard's,-0.48,3
18UCGK,St Loyes,-3.22,1
18UCGL,St Thomas,-0.41,3
18UCGM,Topsham,-1.40,3
18UCGN,Whipton & Barton,1.54,4
18UDGF,Boniface,-0.68,3
18UDGG,Bradninch,-0.83,3
18UDGH,Cadbury,-2.60,2
18UDGJ,Canonsleigh,-2.07,2
18UDGK,Castle,-0.36,3
18UDGL,Clare and Shuttern,-1.82,2
18UDGM,Cranmore,0.26,4
18UDGN,Cullompton North,-0.56,3
18UDGP,Cullompton Outer,-2.29,2
18UDGQ,Cullompton South,-1.24,3
18UDGR,Halberton,-1.33,3
18UDGS,Lawrence,-0.29,3
18UDGT,Lower Culm,-1.28,3
18UDGU,Lowman,1.11,4
18UDGW,Newbrooke,-1.77,2
18UDGX,Sandford and Creedy,-2.71,1
18UDGY,Silverton,-2.29,2
18UDGZ,Taw,-2.97,1
18UDHA,Taw Vale,-1.97,2
18UDHB,Upper Culm,-2.36,2
18UDHC,Upper Yeo,-1.61,3
18UDHD,Way,-2.27,2
18UDHE,Westexe,0.81,4
18UDHF,Yeo,-2.44,2
18UEGH,Bickington and Roundswell,-2.43,2
18UEGJ,Bishop's Nympton,-2.46,2
18UEGK,Bratton Fleming,-2.92,1
18UEGL,Braunton East,-2.65,1
18UEGM,Braunton West,-1.17,3
18UEGN,Central Town,5.11,5
18UEGP,Chittlehampton,-1.66,3
18UEGQ,Chulmleigh,-1.74,2
18UEGR,Combe Martin,-1.53,3
18UEGS,Forches and Whiddon Valley,2.11,4
18UEGT,Fremington,-3.22,1
18UEGU,Georgeham and Mortehoe,-2.21,2
18UEGW,Heanton Punchardon,-0.24,4
18UEGX,Ilfracombe Central,4.95,5
18UEGY,Ilfracombe East,-0.23,4
18UEGZ,Ilfracombe West,0.35,4
18UEHA,Instow,-1.79,2
18UEHB,Landkey,-2.00,2
18UEHC,Longbridge,-1.19,3
18UEHD,Lynton and Lynmouth,-0.92,3
18UEHE,Marwood,-3.41,1
18UEHF,Newport,-0.38,3
18UEHG,North Molton,-1.14,3
